'index', 'num_nodes', 'num_edges', 'density', 'avg_degree', 'avg_degree_central', 'min_degree_central', 'max_degree_central', 'avg_eigen_central', 'min_eigen_central', 'max_eigen_central', 'avg_btwn_central', 'min_btwn_central', 'max_btwn_central', 'max_clique_size', 'clustering_coefficient', 'transitivity', 'num_strongly_connected_components', 'vertex_cover_size', 'avg_shortest_path_len'
150,20,35,0.092,1.538,0.184,0.053,0.632,0.106,0.0,0.661,0.009,0.0,0.06,2,0.122,0.167,11,11,0.358
151,28,85,0.112,1.273,0.225,0.037,0.778,0.119,0.0,0.629,0.05,0.0,0.417,3,0.213,0.299,7,18,1.988
152,25,69,0.115,1.316,0.23,0.042,0.75,0.136,0.0,0.685,0.035,0.0,0.266,2,0.209,0.234,8,20,1.358
153,18,34,0.111,1.2,0.222,0.059,0.824,0.151,0.0,0.585,0.016,0.0,0.088,3,0.155,0.328,12,8,0.513
154,21,37,0.088,1.5,0.176,0.05,0.65,0.142,0.0,0.689,0.019,0.0,0.079,3,0.092,0.25,15,12,0.626
155,28,69,0.091,1.217,0.183,0.037,0.815,0.124,0.0,0.714,0.034,0.0,0.282,3,0.235,0.221,10,15,1.393
156,19,34,0.099,1.462,0.199,0.056,0.667,0.133,0.0,0.696,0.011,0.0,0.06,2,0.047,0.154,11,12,0.415
157,29,52,0.064,1.706,0.128,0.036,0.571,0.109,0.0,0.601,0.007,0.0,0.086,2,0.137,0.186,19,16,0.376
158,29,65,0.08,1.526,0.16,0.036,0.643,0.11,0.0,0.776,0.022,0.0,0.151,3,0.147,0.154,15,20,0.951
159,22,40,0.087,1.294,0.173,0.048,0.762,0.117,0.0,0.701,0.019,0.0,0.102,2,0.095,0.161,13,12,0.63
160,24,43,0.078,1.333,0.156,0.043,0.739,0.105,0.0,0.753,0.014,0.0,0.083,3,0.147,0.286,15,15,0.52
161,29,72,0.089,1.208,0.177,0.036,0.821,0.108,0.0,0.746,0.029,0.0,0.134,2,0.179,0.25,15,16,1.201
162,33,92,0.087,1.435,0.174,0.031,0.688,0.106,0.0,0.692,0.044,0.0,0.286,3,0.19,0.19,9,26,2.001
163,28,72,0.095,1.474,0.19,0.037,0.667,0.115,0.0,0.695,0.031,0.0,0.246,3,0.186,0.198,14,20,1.329
164,25,59,0.098,0.926,0.197,0.042,1.083,0.144,0.0,0.582,0.038,0.0,0.489,2,0.17,0.134,9,14,1.49
165,26,64,0.098,1.529,0.197,0.04,0.64,0.124,0.0,0.694,0.035,0.0,0.213,3,0.103,0.222,12,18,1.308
166,24,65,0.118,1.333,0.236,0.043,0.739,0.14,0.0,0.443,0.038,0.0,0.258,4,0.281,0.327,8,14,1.399
167,23,42,0.083,1.353,0.166,0.045,0.727,0.116,0.0,0.844,0.032,0.0,0.139,2,0.124,0.23,14,14,1.01
168,24,39,0.071,1.143,0.141,0.043,0.87,0.088,0.0,0.661,0.004,0.0,0.043,2,0.163,0.308,19,12,0.225
169,30,94,0.108,1.154,0.216,0.034,0.862,0.116,0.0,0.632,0.037,0.0,0.365,3,0.361,0.355,11,20,1.685
170,30,59,0.068,1.579,0.136,0.034,0.621,0.102,0.0,0.57,0.019,0.0,0.161,3,0.154,0.229,15,20,0.832
171,26,51,0.078,1.857,0.157,0.04,0.52,0.127,0.0,0.596,0.03,0.0,0.198,2,0.067,0.127,13,16,1.154
172,12,14,0.106,2.0,0.212,0.091,0.455,0.194,0.0,0.775,0.009,0.0,0.036,2,0.0,0.0,10,8,0.273
173,31,82,0.088,1.55,0.176,0.033,0.633,0.114,0.0,0.557,0.029,0.0,0.215,3,0.236,0.24,11,18,1.356
174,35,110,0.092,1.094,0.185,0.029,0.912,0.119,0.0,0.595,0.031,0.0,0.393,3,0.261,0.163,7,22,1.714
175,27,55,0.078,1.5,0.157,0.038,0.654,0.111,0.0,0.693,0.021,0.0,0.134,3,0.151,0.195,14,18,0.829
176,36,88,0.07,1.5,0.14,0.029,0.657,0.095,0.0,0.554,0.039,0.0,0.25,3,0.199,0.245,13,24,1.825
177,26,66,0.102,1.733,0.203,0.04,0.56,0.137,0.0,0.537,0.049,0.0,0.272,3,0.146,0.21,8,20,1.848
178,29,58,0.071,1.381,0.143,0.036,0.714,0.099,0.0,0.671,0.017,0.0,0.119,3,0.142,0.331,17,13,0.744
179,31,73,0.078,1.632,0.157,0.033,0.6,0.104,0.0,0.546,0.032,0.0,0.24,3,0.204,0.244,15,18,1.405
180,31,71,0.076,1.722,0.153,0.033,0.567,0.105,0.0,0.768,0.043,0.0,0.235,3,0.121,0.216,12,18,1.794
181,35,90,0.076,1.522,0.151,0.029,0.647,0.104,0.0,0.568,0.036,0.0,0.276,3,0.192,0.265,12,20,1.715
182,30,68,0.078,1.765,0.156,0.034,0.552,0.108,0.0,0.714,0.044,0.0,0.313,3,0.121,0.162,11,24,1.767
183,22,43,0.093,1.294,0.186,0.048,0.762,0.127,0.0,0.51,0.028,0.0,0.173,3,0.222,0.329,12,8,0.894
184,38,89,0.063,1.31,0.127,0.027,0.757,0.093,0.0,0.739,0.027,0.0,0.317,3,0.16,0.181,17,18,1.444
185,26,66,0.102,1.444,0.203,0.04,0.68,0.122,0.0,0.608,0.032,0.0,0.304,3,0.298,0.321,12,16,1.262
186,23,36,0.071,1.278,0.142,0.045,0.773,0.106,0.0,0.767,0.004,0.0,0.025,2,0.136,0.25,18,16,0.206
187,25,54,0.09,1.471,0.18,0.042,0.667,0.13,0.0,0.685,0.042,0.0,0.289,2,0.147,0.115,10,12,1.487
188,25,60,0.1,1.471,0.2,0.042,0.667,0.133,0.0,0.594,0.042,0.0,0.255,3,0.143,0.175,10,14,1.522
189,21,35,0.083,1.5,0.167,0.05,0.65,0.115,0.0,0.774,0.009,0.0,0.053,2,0.151,0.25,13,18,0.343
190,24,50,0.091,1.412,0.181,0.043,0.696,0.128,0.0,0.624,0.032,0.0,0.209,3,0.139,0.206,12,12,1.129
191,21,33,0.079,1.167,0.157,0.05,0.85,0.077,0.0,0.809,0.003,0.0,0.016,3,0.182,0.281,18,14,0.171
192,26,43,0.066,1.733,0.132,0.04,0.56,0.095,0.0,0.68,0.008,0.0,0.07,2,0.082,0.222,16,18,0.375
193,24,40,0.072,1.412,0.145,0.043,0.696,0.119,0.0,0.701,0.013,0.0,0.095,3,0.121,0.214,15,12,-1
194,24,55,0.1,1.5,0.199,0.043,0.652,0.137,0.0,0.626,0.073,0.0,0.364,2,0.155,0.177,7,14,2.299
195,23,49,0.097,1.045,0.194,0.045,0.955,0.138,0.0,0.575,0.036,0.0,0.396,3,0.206,0.194,11,8,1.298
196,25,74,0.123,1.389,0.247,0.042,0.708,0.133,0.0,0.536,0.033,0.0,0.206,4,0.254,0.373,9,14,1.303
197,18,33,0.108,1.059,0.216,0.059,0.941,0.138,0.0,0.837,0.011,0.0,0.074,3,0.218,0.283,13,10,0.395
198,28,76,0.101,1.333,0.201,0.037,0.741,0.12,0.0,0.651,0.034,0.0,0.295,2,0.185,0.212,11,20,1.435
199,27,66,0.094,1.5,0.188,0.038,0.654,0.128,0.0,0.678,0.052,0.0,0.332,3,0.198,0.179,10,14,1.977
200,25,53,0.088,1.667,0.177,0.042,0.583,0.106,0.0,0.629,0.019,0.0,0.124,3,0.093,0.296,13,16,0.727
201,22,34,0.074,1.467,0.147,0.048,0.667,-1,-1,-1,0.005,0.0,0.029,3,0.173,0.211,16,12,0.242
202,31,76,0.082,1.476,0.163,0.033,0.667,0.105,0.0,0.724,0.037,0.0,0.261,3,0.127,0.212,13,22,1.587
203,27,65,0.093,1.35,0.185,0.038,0.731,0.118,0.0,0.687,0.049,0.0,0.289,3,0.169,0.193,11,16,1.786
204,29,57,0.07,1.526,0.14,0.036,0.643,-1,-1,-1,0.022,0.0,0.11,3,0.127,0.25,15,16,0.901
205,25,49,0.082,1.316,0.163,0.042,0.75,-1,-1,-1,0.016,0.0,0.076,3,0.212,0.256,14,18,0.608
206,27,53,0.075,1.174,0.151,0.038,0.846,0.097,0.0,0.733,0.009,0.0,0.072,2,0.117,0.223,17,14,0.419
207,29,55,0.068,1.318,0.135,0.036,0.75,0.095,0.0,0.816,0.017,0.0,0.118,2,0.184,0.205,20,16,0.713
208,29,55,0.068,1.318,0.135,0.036,0.75,0.095,0.0,0.816,0.017,0.0,0.118,2,0.184,0.205,20,16,0.713
209,28,60,0.079,1.556,0.159,0.037,0.63,0.118,0.0,0.746,0.057,0.0,0.382,2,0.079,0.156,9,18,2.044
210,31,63,0.068,1.632,0.135,0.033,0.6,0.1,0.0,0.607,0.034,0.0,0.147,2,0.094,0.107,14,20,1.347
211,27,57,0.081,1.35,0.162,0.038,0.731,0.106,0.0,0.806,0.044,0.0,0.249,2,0.314,0.288,13,20,1.558
212,27,67,0.095,1.0,0.191,0.038,1.0,0.134,0.0,0.578,0.029,0.0,0.383,3,0.263,0.173,12,20,1.264
213,37,89,0.067,1.48,0.134,0.028,0.667,0.086,0.0,0.631,0.034,0.0,0.175,2,0.125,0.239,15,22,1.664
214,35,66,0.055,1.522,0.111,0.029,0.647,0.076,0.0,0.717,0.024,0.0,0.146,3,0.108,0.321,23,22,1.09
215,29,82,0.101,1.318,0.202,0.036,0.75,0.117,0.0,0.702,0.052,0.0,0.281,3,0.207,0.26,8,18,2.107
216,30,107,0.123,1.579,0.246,0.034,0.621,0.133,0.0,0.5,0.038,0.0,0.232,3,0.212,0.27,8,18,1.792
217,31,81,0.087,1.348,0.174,0.033,0.733,0.103,0.0,0.653,0.041,0.0,0.249,3,0.224,0.286,12,18,1.727
218,32,70,0.071,1.455,0.141,0.032,0.677,0.104,0.0,0.646,0.02,0.0,0.195,3,0.174,0.205,17,18,0.981
219,29,89,0.11,1.45,0.219,0.036,0.679,0.134,0.0,0.582,0.031,0.0,0.158,3,0.165,0.195,10,18,1.429
220,20,45,0.118,1.538,0.237,0.053,0.632,0.157,0.0,0.518,0.075,0.0,0.383,3,0.157,0.149,7,14,2.079
221,30,71,0.082,1.429,0.163,0.034,0.69,0.095,0.0,0.649,0.025,0.0,0.159,3,0.174,0.345,16,20,1.085
222,25,64,0.107,1.389,0.213,0.042,0.708,0.132,0.0,0.697,0.05,0.0,0.317,2,0.198,0.235,9,16,1.728
223,26,59,0.091,1.238,0.182,0.04,0.8,0.126,0.0,0.74,0.038,0.0,0.226,3,0.167,0.225,10,16,1.366
224,23,44,0.087,1.533,0.174,0.045,0.636,0.122,0.0,0.656,0.018,0.0,0.152,3,0.182,0.209,13,14,0.696
225,28,74,0.098,1.217,0.196,0.037,0.815,0.12,0.0,0.697,0.035,0.0,0.189,3,0.22,0.23,10,16,1.44
226,35,78,0.066,1.296,0.131,0.029,0.765,0.09,0.0,0.769,0.025,0.0,0.159,4,0.183,0.255,17,20,1.221
227,27,50,0.071,1.588,0.142,0.038,0.615,-1,-1,-1,0.025,0.0,0.208,3,0.098,0.127,17,16,0.984
228,19,39,0.114,1.267,0.228,0.056,0.778,0.13,0.0,0.64,0.021,0.0,0.154,3,0.161,0.203,11,12,0.684
229,22,37,0.08,1.467,0.16,0.048,0.667,0.113,0.0,0.731,0.017,0.0,0.13,2,0.096,0.208,12,14,-1
230,20,31,0.082,1.25,0.163,0.053,0.789,0.112,0.0,0.698,0.004,0.0,0.023,2,0.172,0.214,16,12,0.218
231,29,57,0.07,1.611,0.14,0.036,0.607,0.106,0.0,0.694,0.015,0.0,0.102,3,0.144,0.27,17,16,0.666
232,27,60,0.085,1.286,0.171,0.038,0.769,0.114,0.0,0.576,0.016,0.0,0.209,3,0.247,0.257,16,15,0.745
233,29,79,0.097,1.526,0.195,0.036,0.643,0.119,0.0,0.629,0.056,0.0,0.248,4,0.23,0.303,11,20,2.063
234,26,55,0.085,1.238,0.169,0.04,0.8,0.106,0.0,0.665,0.013,0.0,0.099,3,0.139,0.214,14,17,0.563
235,26,35,0.054,1.625,0.108,0.04,0.6,0.091,0.0,0.911,0.001,0.0,0.012,2,0.072,0.182,20,20,0.117
236,28,54,0.071,1.474,0.143,0.037,0.667,0.088,0.0,0.513,0.013,0.0,0.083,3,0.13,0.239,18,20,0.567
237,28,56,0.074,1.647,0.148,0.037,0.593,0.119,0.0,0.716,0.038,0.0,0.19,3,0.092,0.133,12,18,1.396
238,26,49,0.075,1.733,0.151,0.04,0.56,0.098,0.0,0.605,0.006,0.0,0.04,2,0.119,0.282,20,14,0.323
239,32,79,0.08,1.391,0.159,0.032,0.71,0.1,0.0,0.7,0.021,0.0,0.114,3,0.169,0.229,14,22,0.991
240,21,38,0.09,1.5,0.181,0.05,0.65,0.112,0.0,0.638,0.006,0.0,0.032,2,0.17,0.266,15,12,0.29
241,28,68,0.09,1.474,0.18,0.037,0.667,0.121,0.0,0.649,0.04,0.0,0.241,3,0.2,0.201,14,16,1.545
242,29,70,0.086,1.45,0.172,0.036,0.679,0.123,0.0,0.684,0.043,0.0,0.223,3,0.155,0.163,12,16,1.693
243,28,67,0.089,1.217,0.177,0.037,0.815,0.107,0.0,0.741,0.03,0.0,0.193,4,0.243,0.209,12,14,1.243
244,30,59,0.068,1.25,0.136,0.034,0.793,0.101,0.0,0.741,0.016,0.0,0.147,2,0.135,0.246,17,16,0.725
245,24,39,0.071,1.263,0.141,0.043,0.783,-1,-1,-1,0.005,0.0,0.026,2,0.16,0.227,16,16,0.236
246,31,74,0.08,1.476,0.159,0.033,0.667,0.105,0.0,0.59,0.046,0.0,0.323,2,0.195,0.231,10,20,1.926
247,37,69,0.052,1.48,0.104,0.028,0.667,0.079,0.0,0.807,0.009,0.0,0.047,2,0.094,0.17,26,22,0.485
248,33,78,0.074,1.435,0.148,0.031,0.688,0.102,0.0,0.679,0.029,0.0,0.221,2,0.159,0.183,14,22,1.339
249,39,90,0.061,1.773,0.121,0.026,0.553,0.095,0.0,0.587,0.021,0.0,0.213,2,0.146,0.163,18,24,1.2
250,31,66,0.071,1.476,0.142,0.033,0.667,0.093,0.0,0.632,0.015,0.0,0.155,2,0.167,0.282,18,16,0.753
251,34,73,0.065,1.545,0.13,0.03,0.636,0.096,0.0,0.628,0.011,0.0,0.088,3,0.263,0.247,19,22,0.586
252,40,116,0.074,1.667,0.149,0.026,0.59,0.1,0.0,0.526,0.025,0.0,0.216,3,0.147,0.246,13,26,1.488
253,48,131,0.058,1.92,0.116,0.021,0.511,0.08,0.0,0.503,0.028,0.0,0.226,2,0.114,0.22,20,22,1.876
254,24,44,0.08,1.412,0.159,0.043,0.696,0.11,0.0,0.61,0.011,0.0,0.113,3,0.256,0.303,15,16,0.469
255,26,45,0.069,1.238,0.138,0.04,0.8,0.098,0.0,0.746,0.008,0.0,0.055,3,0.14,0.206,18,12,0.369
256,21,59,0.14,1.4,0.281,0.05,0.7,0.144,0.0,0.656,0.054,0.0,0.251,3,0.222,0.306,8,14,1.652
